epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3983,1.65831,3.27604,1.62415,0.23866,0.22669,0.09938,0.04389,1.80341,13.3957,1.82588,0.00044299,0.00044299,0.00044299
2,35.9921,1.58712,2.36964,1.54187,0.08184,0.30513,0.02298,0.01116,2.14907,inf,2.9903,0.000870561,0.000870561,0.000870561
3,53.8346,1.67088,2.26412,1.65267,0.05209,0.40549,0.02054,0.00841,2.09114,74.3254,2.56735,0.00126795,0.00126795,0.00126795
4,72.6772,1.63693,2.11027,1.58254,0.02667,0.07826,0.00324,0.00185,3.37544,inf,6.57436,0.00128753,0.00128753,0.00128753
5,92.0187,1.59142,2.04927,1.56638,0.16912,0.20173,0.12781,0.06115,1.88432,19.0555,2.16405,0.00124037,0.00124037,0.00124037
6,111.109,1.54408,1.96174,1.56052,0.1601,0.3108,0.16724,0.08107,1.89136,6.35562,2.14291,0.00119322,0.00119322,0.00119322
7,129.715,1.54009,1.96167,1.52622,0.499,0.23443,0.25313,0.12403,1.81526,3.46458,1.97275,0.00114606,0.00114606,0.00114606
8,148.344,1.48989,1.88597,1.50857,0.2224,0.38822,0.19147,0.08637,1.85079,3.22592,1.92769,0.0010989,0.0010989,0.0010989
9,166.964,1.50685,1.80562,1.49516,0.57915,0.30733,0.28342,0.14581,1.69304,2.5649,1.85037,0.00105174,0.00105174,0.00105174
10,185.965,1.45808,1.78486,1.47453,0.40747,0.40307,0.31407,0.17814,1.63715,2.42429,1.65865,0.00100459,0.00100459,0.00100459
11,204.836,1.37673,1.67182,1.40974,0.63193,0.31226,0.30399,0.13796,1.7539,2.50198,1.87094,0.00095743,0.00095743,0.00095743
12,223.339,1.39467,1.67989,1.41819,0.39673,0.44618,0.36683,0.20234,1.53142,1.87839,1.65543,0.000910273,0.000910273,0.000910273
13,242.062,1.33917,1.6185,1.38781,0.38962,0.49957,0.38113,0.19786,1.71112,1.94821,1.81053,0.000863116,0.000863116,0.000863116
14,260.644,1.32428,1.54204,1.36732,0.52631,0.38209,0.41041,0.23137,1.55615,1.9316,1.63654,0.000815959,0.000815959,0.000815959
15,279.526,1.31403,1.49402,1.35469,0.36104,0.43787,0.35725,0.20002,1.56802,1.95301,1.66174,0.000768802,0.000768802,0.000768802
16,298.147,1.28354,1.53413,1.34976,0.28154,0.34985,0.27898,0.16134,1.51446,2.10318,1.5998,0.000721645,0.000721645,0.000721645
17,316.754,1.26059,1.47644,1.33311,0.46039,0.42432,0.41883,0.24954,1.47003,1.71449,1.58556,0.000674488,0.000674488,0.000674488
18,335.587,1.22172,1.43593,1.29641,0.4677,0.43602,0.41921,0.24506,1.54993,1.80359,1.62761,0.000627331,0.000627331,0.000627331
19,354.132,1.20659,1.39727,1.30617,0.51073,0.4085,0.38673,0.2339,1.4746,1.85644,1.58529,0.000580174,0.000580174,0.000580174
20,372.749,1.19387,1.30367,1.25595,0.44168,0.44864,0.43435,0.27854,1.4126,1.84651,1.48184,0.000533017,0.000533017,0.000533017
21,392.076,1.17671,1.42541,1.27068,0.33364,0.50251,0.375,0.23381,1.40706,1.85022,1.56271,0.00048586,0.00048586,0.00048586
22,410.815,1.11837,1.27932,1.25325,0.55728,0.40454,0.47423,0.30011,1.35309,1.60597,1.49215,0.000438703,0.000438703,0.000438703
23,429.592,1.10305,1.23398,1.25011,0.43451,0.48693,0.42951,0.27786,1.33787,1.63527,1.4662,0.000391546,0.000391546,0.000391546
24,448.109,1.0913,1.16614,1.21236,0.42855,0.45653,0.43383,0.27908,1.36611,1.61955,1.48078,0.000344389,0.000344389,0.000344389
25,466.512,1.04609,1.13125,1.19453,0.44185,0.54764,0.4566,0.30333,1.37009,1.59461,1.46419,0.000297232,0.000297232,0.000297232
26,485.133,1.04134,1.08713,1.20688,0.47545,0.43692,0.43623,0.27994,1.38456,1.75616,1.5085,0.000250075,0.000250075,0.000250075
27,503.605,0.99655,1.05137,1.16392,0.48504,0.45061,0.46101,0.29174,1.36767,1.53908,1.49774,0.000202918,0.000202918,0.000202918
28,522.111,0.96323,0.9917,1.12664,0.42934,0.59039,0.48747,0.32472,1.32424,1.51309,1.46291,0.000155761,0.000155761,0.000155761
29,540.908,0.9426,0.96135,1.13329,0.44255,0.51996,0.48684,0.31005,1.33302,1.5741,1.46895,0.000108604,0.000108604,0.000108604
30,559.484,0.92641,0.92984,1.11661,0.42919,0.56218,0.49199,0.32531,1.29318,1.56677,1.45152,6.1447e-05,6.1447e-05,6.1447e-05
